iter	RMSE
0	0.8883033343
1	0.8700465865
2	0.8529985788
3	0.8372874617
4	0.8225180088
5	0.8089701412
6	0.7962541711
7	0.7845587865
8	0.7736434267
9	0.7637919428
10	0.75471441
11	0.7460674938
12	0.7380678049
13	0.7305907625
14	0.7235775854
15	0.7172305033
16	0.7113916926
17	0.7059070364
18	0.7010393058
19	0.6964798794
20	0.6921986687
21	0.6881910235
22	0.6844918887
23	0.6810356552
24	0.6778972689
25	0.674974479
26	0.6723376163
27	0.6698337546
28	0.6675000544
29	0.6653245051
30	0.663277027
31	0.6614110902
32	0.6596322084
33	0.6579663136
34	0.656395163
35	0.6548683584
36	0.65353467
37	0.6521998824
38	0.6510414712
39	0.6499543952
40	0.6488570048
41	0.6477667162
42	0.6467749938
43	0.6458487627
44	0.6449765767
45	0.6442308349
46	0.6434292876
47	0.6427021396
48	0.6417648783
49	0.6410688695
50	0.6403948019
51	0.6396919991
52	0.6390044568
53	0.6382252065
54	0.6376391509
55	0.636838977
56	0.636236103
57	0.6357169193
58	0.6350073263
59	0.6345437837
60	0.6338015
61	0.6332967678
62	0.6326594213
63	0.6320307231
64	0.6314429789
65	0.6310704879
66	0.6306528524
67	0.6299960453
68	0.6294579785
69	0.6289322964
70	0.6285435803
71	0.6281505081
72	0.6278151295
73	0.6274523338
74	0.6271472166
75	0.6265780885
76	0.626009004
77	0.6255318113
78	0.6251575452
79	0.6247739359
80	0.6244911783
81	0.6239191229
82	0.62340502
83	0.6229762923
84	0.6225898463
85	0.6218923127
86	0.6214239631
87	0.6210834083
88	0.6208171716
89	0.6203977998
90	0.620144455
91	0.6197913406
92	0.6193366558
93	0.6188987707
94	0.618615042
95	0.6181499508
96	0.6179002462
97	0.6174812374
98	0.617268646
99	0.6168511302
100	0.6164804638
101	0.6162380022
102	0.6159916897
103	0.6157503189
104	0.6152369739
105	0.6148605245
106	0.614550518
107	0.6142404398
108	0.6138734876
109	0.6136028166
110	0.6133857027
111	0.6131977233
112	0.6126210495
113	0.6123758412
114	0.6117215394
115	0.6114222448
116	0.6112426608
117	0.610835773
118	0.6105380304
119	0.610288714
120	0.61012269
121	0.6097281547
122	0.609260229
123	0.6089765708
124	0.6086941742
125	0.608496211
126	0.6081391487
127	0.6078969504
128	0.6076644859
129	0.6075229128
130	0.6072578956
131	0.6068524907
132	0.6066591861
133	0.6064969661
134	0.6062272933
135	0.6060812744
136	0.6057988812
137	0.60568154
138	0.6055676885
139	0.6054436632
140	0.6052979058
141	0.6051294834
142	0.6049651065
143	0.6045561425
144	0.6043367196
145	0.6039886445
146	0.6037904507
147	0.6036002317
148	0.6034495337
149	0.6032524816
150	0.6030919502
151	0.6029300207
152	0.6027305656
153	0.6022326095
154	0.6018980547
155	0.6016822378
156	0.6014703909
157	0.6013068279
158	0.6011641749
159	0.6007560057
160	0.6003931753
161	0.6001521293
162	0.6000501536
163	0.5999271477
164	0.5998289484
165	0.5996122993
166	0.5994740041
167	0.5993295701
168	0.5989858797
169	0.598800533
170	0.5986984313
171	0.5982619647
172	0.5980744448
173	0.5978357442
174	0.5977154428
175	0.5974672265
176	0.5972293842
177	0.5971084745
178	0.5969478048
179	0.5967582353
180	0.5964796584
181	0.5963610799
182	0.5961078785
183	0.5959398315
184	0.5957533772
185	0.5955929455
186	0.5953953475
187	0.5951570021
188	0.5950216829
189	0.5946670638
190	0.5944986024
191	0.5944133895
192	0.5943265211
193	0.5940979966
194	0.5939327858
195	0.5937372046
196	0.5936547726
197	0.5934729338
198	0.5932177336
199	0.593088429
200	0.5929377875
201	0.5928746144
202	0.5926335627
