iter	Passed	Remaining
0	264	105557
1	450	89575
2	653	86422
3	830	82188
4	1064	84127
5	1282	84204
6	1475	82829
7	1647	80708
8	1918	83330
9	2082	81216
10	2312	81767
11	2454	79374
12	2628	78234
13	2785	76811
14	2955	75854
15	3096	74313
16	3272	73720
17	3508	74450
18	3664	73487
19	3895	74007
20	4047	73041
21	4201	72188
22	4423	72505
23	4587	71863
24	4841	72625
25	5189	74641
26	5481	75726
27	5725	76066
28	5969	76366
29	6291	77593
30	6475	77074
31	6731	77412
32	6949	77290
33	7122	76669
34	7259	75706
35	7368	74508
36	7543	74006
37	7812	74428
38	8071	74716
39	8255	74299
40	8421	73742
41	8556	72934
42	8739	72561
43	8917	72154
44	9063	71504
45	9177	70629
46	9289	69767
47	9410	69010
48	9583	68649
49	9692	67848
50	9807	67115
51	10071	67400
52	10365	67863
53	10564	67693
54	10701	67125
55	10888	66887
56	11131	66984
57	11366	67023
58	11518	66571
59	11627	65886
60	11774	65437
61	11955	65178
62	12093	64689
63	12264	64388
64	12453	64183
65	12618	63857
66	12735	63299
67	12891	62938
68	13065	62674
69	13201	62234
70	13364	61929
71	13515	61569
72	13645	61125
73	13846	61000
74	13950	60453
75	14090	60070
76	14215	59630
77	14412	59498
78	14569	59198
79	14695	58781
80	14843	58456
81	14960	58018
82	15135	57806
83	15298	57551
84	15444	57236
85	15622	57041
86	15794	56822
87	15939	56512
88	16078	56183
89	16251	55976
90	16433	55800
91	16541	55376
92	16742	55267
93	16892	54991
94	17023	54653
95	17148	54303
96	17308	54066
97	17494	53910
98	17681	53758
99	17858	53575
100	18045	53422
101	18163	53065
102	18403	53065
103	18573	52861
104	18703	52547
105	18989	52669
106	19103	52311
107	19266	52090
108	19441	51903
109	19583	51629
110	19727	51361
111	19905	51184
112	20056	50939
113	20173	50611
114	20368	50479
115	20556	50328
116	20742	50172
117	20900	49948
118	21102	49829
119	21288	49672
120	21503	49583
121	21623	49272
122	21793	49080
123	21895	48735
124	22045	48500
125	22209	48297
126	22433	48222
127	22599	48024
128	22743	47778
129	22904	47570
130	23113	47462
131	23344	47396
132	23522	47222
133	23942	47528
134	24232	47568
135	24377	47320
136	24544	47118
137	24705	46904
138	24923	46798
139	25065	46549
140	25251	46384
141	25377	46108
